overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,style_Style:,style_Size:,style_Color:,vote,image,style_Size Name:,style_Style Name:,style_Package Quantity:,review_length,sentiment
5.0,True,"11 2, 2013",A2HDUVKXR5CM7H,B004XLDHSE,MIKE,"works great instructions made job very simply just need the right tools, purchase kit, not just dog ears well worth the couple of extra pennies",worth the money,1383350400,,,,,,,,,143,Positive
2.0,True,"08 24, 2015",AJPRN1TD1A0SD,B0053F7TQA,transporter,cheap,Two Stars,1440374400,,,,,,,,,5,Negative
5.0,True,"01 7, 2015",A1AJW9DILZFTQI,B0053F7TQA,Riteway Appliance,Great deal and fast shipping!,Five Stars,1420588800,,,,,,,,,29,Positive
5.0,True,"11 21, 2014",A1LN48DHHCKLR3,B0053F7TQA,Ernest Danel,received ok,Five Stars,1416528000,,,,,,,,,11,Positive
5.0,True,"02 22, 2014",A3J8IC20SGBS2O,B0053F7TQA,Mr and Mrs Burk,"A dryer thermostat which does as it was designed, to limit the heat to the element of your dryer
Mr Burke",Does what it is supposed to do,1393027200,,,,,,,,,105,Positive
5.0,True,"03 8, 2016",A3GP2HMB2AFOKF,B0053F80JA,Juan,Great product,Five Stars,1457395200,,,,,,,,,13,Positive
5.0,True,"01 5, 2016",A2V0JXLJ9VCNNX,B0053F80JA,Amazon Customer,WORKING GREAT,Five Stars,1451952000,,,,,,,,,13,Positive
2.0,True,"10 10, 2015",A1HWFUO5PKB2RW,B0053F80JA,Greg bernal,ok part,Two Stars,1444435200,,,,,,,,,7,Negative
5.0,True,"07 4, 2015",A6FPI5CM4W5WB,B0053F80JA,Tim Veteto,Great,Great,1435968000,,,,,,,,,5,Positive
5.0,True,"03 21, 2015",A2CIEGHZ7L1WWR,B0053F80JA,albert j. kong,Price and delivery was excellent.,Five Stars,1426896000,,,,,,,,,33,Positive
5.0,True,"05 21, 2014",A1AJW9DILZFTQI,B0053F80JA,Riteway Appliance,Great deal and fast shipping!,Five Stars,1400630400,,,,,,,,,29,Positive
5.0,True,"02 6, 2017",A3J8IC20SGBS2O,B0056I99WG,Mr and Mrs Burk,Money saver for a do-it your-selfer-excellent quality,Five Stars,1486339200,,,,,,,,,53,Positive
5.0,True,"01 5, 2016",A2V0JXLJ9VCNNX,B0056I99WG,Amazon Customer,DRYER WORKING GREAT,Five Stars,1451952000,,,,,,,,,19,Positive
1.0,True,"09 17, 2015",A1HWFUO5PKB2RW,B0056I99WG,Greg bernal,it did not last more then 3 days,One Star,1442448000,,,,,,,,,32,Negative
5.0,True,"09 7, 2015",AR3OHHHW01A8E,B0056I99WG,Calvin E Reames,Perfect fit for Maytag dryer,Part was a perfect fit,1441584000,,,,,,,,,28,Positive
5.0,True,"08 13, 2015",A37DQO5LU8DXTV,B0056I99WG,Easy Appliance,Thanks,Five Stars,1439424000,,,,,,,,,6,Positive
5.0,True,"07 4, 2015",A13391AZAFJ67K,B0056I99WG,Fred A,good,Five Stars,1435968000,,,,,,,,,4,Positive
5.0,True,"09 22, 2014",A6FPI5CM4W5WB,B0056I99WG,Tim Veteto,Good job,Good job,1411344000,,,,,,,,,8,Positive
5.0,True,"08 13, 2015",A37DQO5LU8DXTV,B00570RQ0A,Easy Appliance,good,Five Stars,1439424000,,,,,,,,,4,Positive
5.0,True,"02 23, 2015",A26M3TN8QICJ3K,B00570RQ0A,Marty Baker,Excellent! Exactly what I needed.,Five Stars,1424649600,,,,,,,,,33,Positive
5.0,True,"10 19, 2014",A2O7BWHBIV1HWZ,B00570RQ0A,A/C dude,worked great!!,Five Stars,1413676800,,,,,,,,,14,Positive
5.0,True,"03 27, 2014",A26Y776G7VVBCQ,B00570RQ0A,JPM,"Fixed my washer and fit perfect. Just like, well actually seemed like it designed better than the original. We'll see if it lasts 9 years like the original did.",Just like the original,1395878400,,,,,,,,,160,Positive
5.0,True,"12 21, 2016",AFUVGAUNQVT0S,B008YDSH6E,Brian M.,These start devices are great for all domestic refrigeration start device repairs. They exceed the original device and very easy to install.,Got compressor start problem?,1482278400,,,,,,,,,140,Positive
5.0,True,"11 1, 2016",A23KSPVPHZF6EO,B008YDSH6E,Angela Samos Guardia,Worked great thank you.,Five Stars,1477958400,,,,,,,,,23,Positive
5.0,False,"04 4, 2016",A3J8IC20SGBS2O,B008YDSH6E,Mr and Mrs Burk,"I am a technician. I have been a technician since 1971. Having used Supco relays for over 30 years when they first became available,  I have always found them to be reliable and they saved me from carrying 40 or 50 types of relays in my truck.

  Mr burke","Totally reliable relays, 45 years experience",1459728000,,,,,,,,,255,Positive
5.0,True,"01 7, 2015",A1AJW9DILZFTQI,B008YDSH6E,Riteway Appliance,Great deal and fast shipping!,Five Stars,1420588800,,,,,,,,,29,Positive
5.0,True,"11 27, 2014",A2O7BWHBIV1HWZ,B008YDSH6E,A/C dude,Worked great!! I just wonder how long they last. Guess I'll find out. This product is very easy to install!!,Worked great!! I just wonder how long they last,1417046400,,,,,,,,,108,Positive
4.0,True,"02 28, 2018",A23KSPVPHZF6EO,B009PCI2JU,Angela Samos Guardia,"This works great, wonderful product it worked good.",Four Stars,1519776000,,,,,,,, 1,51,Positive
5.0,True,"06 26, 2017",A1Y4UNHRP312HS,B00AHR3IG4,Colorado Jerry,"This is the OEM filter. It removes contaminants and lead according to the literature, and it does improve the taste. I use the water for my coffee, tea, home made soda [Sodastream], and drinking water. Very satisfied with the taste. I also make a habit of replacing these whenever the ""replace light"" comes on.",Does its Job.,1498435200,,,,,,,,,310,Positive
5.0,True,"06 21, 2017",A329823SXZ8IBE,B00AHR3IG4,J!,Fit perfectly in my fridge.  No leaks and the water tastes great.,Awesome,1498003200,,,,,,,,,65,Positive
5.0,True,"06 12, 2017",A1Y4UNHRP312HS,B00AHR3IG4,Colorado Jerry,"This OEM filter works perfectly as expected. It supplies great tasting water and removes many toxins, according to the literature that accompanies them.",It supplies great tasting water and removes many toxins,1497225600,,,,,,,,,152,Positive
5.0,True,"02 12, 2016",A329823SXZ8IBE,B00AHR3IG4,J!,Fits my Samsung fridge.  Easy to replace.,The filter I needed,1455235200,,,,,,,,,41,Positive
3.0,True,"07 25, 2016",AJPRN1TD1A0SD,B00BIZDI0A,transporter,ok,Three Stars,1469404800,,,,,,,,,2,Neutral
5.0,True,"03 7, 2017",A23KSPVPHZF6EO,B00CW0O1EW,Angela Samos Guardia,WONDERFUL!,Five Stars,1488844800,,,,,,,,,10,Positive
5.0,True,"04 24, 2016",A11SCLK8GDDN3C,B00CW0O1EW,mrclobhead,"All is fine no problem to report, will definitely recommend them to my friends.",Five Stars,1461456000,,,,,,,,,79,Positive
5.0,True,"03 8, 2016",A3GP2HMB2AFOKF,B00CW0O1EW,Juan,Great product,Five Stars,1457395200,,,,,,,,,13,Positive
5.0,True,"03 21, 2015",A2CIEGHZ7L1WWR,B00CW0O1EW,albert j. kong,Price is good and it makes sense to have a few spare fuses on hand. Delivery was excellent.,Five Stars,1426896000,,,,,,,,,91,Positive
5.0,True,"01 28, 2015",A13391AZAFJ67K,B00CW0O1EW,Fred A,Exelent,Five Stars,1422403200,,,,,,,,,7,Positive
5.0,True,"12 10, 2014",AVGG8CYK8K312,B00CW0O1EW,Larry,very low price good money maker too,Thermal fuses,1418169600,,,,,,,,,35,Positive
5.0,True,"11 20, 2014",A37DQO5LU8DXTV,B00CW0O1EW,Easy Appliance,Good,Five Stars,1416441600,,,,,,,,,4,Positive
5.0,True,"11 19, 2014",AFUVGAUNQVT0S,B00CW0O1EW,Brian M.,This muti pack makes sure I always have the part to finish the job. I can be in and out with a check in hand.,This muti pack makes sure I always have the part ...,1416355200,,,,,,,,,109,Positive
5.0,True,"02 23, 2015",A26M3TN8QICJ3K,B00DM8JA7Q,Marty Baker,Excellent! Exactly what I needed.,Five Stars,1424649600,,,,,,,,,33,Positive
5.0,True,"12 10, 2014",AVGG8CYK8K312,B00DM8JA7Q,Larry,These are a great buy I replace alot of them they seem to fit fine,Lid switch,1418169600,,,,,,,,,66,Positive
5.0,True,"11 25, 2014",A11SCLK8GDDN3C,B00DM8JA7Q,mrclobhead,"ALL IS FINE, ITEM WORKS GREAT.",Five Stars,1416873600,,,,,,,,,30,Positive
5.0,True,"11 10, 2014",A2O7BWHBIV1HWZ,B00DM8JA7Q,A/C dude,worked great,Five Stars,1415577600,,,,,,,,,12,Positive
1.0,True,"11 2, 2013",A2HDUVKXR5CM7H,B00DM8JA7Q,MIKE,"piece of garbage switch set to high that it will not shut off, couldn't return because it was taken out of package how else do you know if it will work if you don't take it out and try it. bad return policy",does not work as promised,1383350400,,,,,,,,,206,Negative
5.0,True,"01 5, 2016",A2V0JXLJ9VCNNX,B00DM8J11Q,Amazon Customer,GOOD DOGS.,Five Stars,1451952000,,,,,,,,,10,Positive
5.0,True,"06 21, 2015",A2CIEGHZ7L1WWR,B00DM8J11Q,albert j. kong,Very good price & delivery,Five Stars,1434844800,,,,,,,,,26,Positive
5.0,False,"05 14, 2015",AFUVGAUNQVT0S,B00DM8J11Q,Brian M.,Common failure with the whilrlpool agitator after a few years of service. I'm in and out with these replacement parts on the van.,Common failure with the whilrlpool agitator after a few years ...,1431561600,,,,,,,,,129,Positive
5.0,True,"01 3, 2015",A2O7BWHBIV1HWZ,B00DM8J11Q,A/C dude,Great!!,Five Stars,1420243200,,,,,,,,,7,Positive
5.0,True,"11 22, 2013",A1EUO0BU72JR7T,B00DM8J11Q,Bilbo,"Cheap fix for an old washer; take the agitator off, put these in, replace the agitator, and you're back in business.  You can even flip the old ones around sometimes to get a bit more use out of them, but these are cheap enough to put in if you're going to take the time to fix the washer anyway.",Perfect replacement for aging agitator-type washers...,1385078400,,,,,,,,,296,Positive
5.0,True,"06 16, 2016",A3J8IC20SGBS2O,B00DM8KQ2Y,Mr and Mrs Burk,works perfectly,Five Stars,1466035200,,,,,,,,,15,Positive
5.0,True,"07 10, 2015",A3H61AMBJ177DG,B00DM8KQ2Y,Randy Bailey,as advertised,Five Stars,1436486400,,,,,,,,,13,Positive
5.0,True,"07 4, 2015",AFUVGAUNQVT0S,B00DM8KQ2Y,Brian M.,Common failure part on Whirlpool built top load washers. This is an easy replacement and the customer was up and running in no time.,This is an easy replacement and the customer was up and running in ...,1435968000,,,,,,,,,132,Positive
5.0,True,"12 16, 2014",A26M3TN8QICJ3K,B00DM8KQ2Y,Marty Baker,"Awesome, exactly what I needed",Five Stars,1418688000,,,,,,,,,30,Positive
5.0,False,"04 8, 2015",ALZOND1IEW8KS,B00JGTUQJ6,Bill,Filter works just like the more expensive filters,works great,1428451200,,,,,,,,,49,Positive
5.0,False,"04 8, 2015",ALZOND1IEW8KS,B00JGTUQJ6,Bill,Filter works like it is supposed to.,Water tastes fine,1428451200,,,,,,,,,36,Positive
5.0,False,"04 8, 2015",ALZOND1IEW8KS,B00JGTUQJ6,Bill,Worked fine -easy to install,worked fine,1428451200,,,,,,,,,28,Positive
5.0,False,"04 8, 2015",ALZOND1IEW8KS,B00JGTUQJ6,Bill,Tastes like the original filter I bought. But costs a lot less.,Good product,1428451200,, 2-Pack,,,,,,,63,Positive
5.0,False,"04 8, 2015",ALZOND1IEW8KS,B00JGTUQJ6,Bill,works great -have bought them before,Works fine,1428451200,,,,,,,,,36,Positive
5.0,False,"04 8, 2015",ALZOND1IEW8KS,B00JGTUQJ6,Bill,Great product at a better price,Great product,1428451200,, 3-Pack,,,,,,,31,Positive
5.0,False,"04 8, 2015",ALZOND1IEW8KS,B00JGTUQJ6,Bill,Works great,worked no great no problems,1428451200,,,,,,,,,11,Positive
5.0,False,"03 26, 2015",A2OP8DEIIUESP,B00JGTUQJ6,Chris,First time I used this brand. But will buy it again. Worked just like all the others I have bought in the past,water tastes great,1427328000,,,,,,,,,110,Positive
5.0,False,"03 26, 2015",A2OP8DEIIUESP,B00JGTUQJ6,Chris,Have seen some bad reviews but don't know why. They always work great for me. Maybe some people aren't installing them correctly,Always work the way they are supposed to.,1427328000,,,,,,,,,128,Positive
5.0,False,"03 26, 2015",A2OP8DEIIUESP,B00JGTUQJ6,Chris,Just as good as the more expensive filters I used to buy. Taste and function is the same at a much lower price,Just like the more expensive filters,1427328000,, 2-Pack,,,,,,,110,Positive
5.0,False,"03 26, 2015",A2OP8DEIIUESP,B00JGTUQJ6,Chris,Filter functions and tastes exactly like the more expensive brand,Just like the more expensive filter,1427328000,,,,,,,,,65,Positive
5.0,False,"03 26, 2015",A2OP8DEIIUESP,B00JGTUQJ6,Chris,Worked great at half the price,Worked great,1427328000,, 3-Pack,,,,,,,30,Positive
5.0,False,"03 26, 2015",A2OP8DEIIUESP,B00JGTUQJ6,Chris,Worked great. Tastes the same as the more expensive brand filters,Tastes great less cost,1427328000,,,,2,,,,,65,Positive
5.0,True,"03 3, 2016",A2V0JXLJ9VCNNX,B00MGMWTQS,Amazon Customer,JUST RIGHT...,Five Stars,1456963200,,,,,,,,,13,Positive
5.0,True,"07 10, 2015",A3H61AMBJ177DG,B00MGMWTQS,Randy Bailey,as advertised,Five Stars,1436486400,,,,,,,,,13,Positive
5.0,True,"07 4, 2015",A6FPI5CM4W5WB,B00MGMWTQS,Tim Veteto,Great,Great,1435968000,,,,,,,,,5,Positive
5.0,True,"12 3, 2014",A11SCLK8GDDN3C,B00MGMWTQS,mrclobhead,"All was fine, product was as advertised.",Five Stars,1417564800,,,,,,,,,40,Positive
5.0,True,"08 11, 2014",AVGG8CYK8K312,B00MGMWTQS,Larry,Very satisfied I love these prices and prompt  courteous service,Five Stars,1407715200,,,,,,,,,64,Positive
5.0,True,"11 13, 2013",A1EUO0BU72JR7T,B00MGMWTQS,Bilbo,"The all-plastic insert ones are better than the ones with the metal ones - I used one of the metal inserts ones and after a short while the insert just spun inside of the coupler, which made me have to replace it AND pry off the metal insert from the shaft, which was the most annoying part.","Great coupler - use the all-plastic ones, not the ones with the metal spline insert...",1384300800,,,,,,,,,291,Positive
5.0,True,"02 28, 2018",A23KSPVPHZF6EO,B00P9C66PM,Angela Samos Guardia,"This works great, wonderful product it worked good.",Five Stars,1519776000,,,,,,,,,51,Positive
5.0,True,"01 5, 2016",A2V0JXLJ9VCNNX,B00P9C66PM,Amazon Customer,WASHER SPINNING NOW.,Five Stars,1451952000,,,,,,,,,20,Positive
5.0,True,"08 13, 2015",A37DQO5LU8DXTV,B00P9C66PM,Easy Appliance,Good job,Five Stars,1439424000,,,,,,,,,8,Positive
5.0,True,"07 27, 2015",AFUVGAUNQVT0S,B00P9C66PM,Brian M.,the spin clutch is a wear part on WP built top loaders so this clutch kit takes care of a slow spin issue and at a great price.,... care of a slow spin issue and at a great price.,1437955200,,,,,,,,,127,Positive
5.0,True,"07 4, 2015",A13391AZAFJ67K,B00P9C66PM,Fred A,good,Five Stars,1435968000,,,,,,,,,4,Positive
5.0,True,"03 21, 2015",A2CIEGHZ7L1WWR,B00P9C66PM,albert j. kong,Price and delivery was excellent.,Five Stars,1426896000,,,,,,,,,33,Positive
5.0,True,"07 10, 2015",A3H61AMBJ177DG,B00W4YKCGC,Randy Bailey,as advertised.,Five Stars,1436486400,,,,,,,,,14,Positive
5.0,True,"11 20, 2014",A37DQO5LU8DXTV,B00W4YKCGC,Easy Appliance,Good,Five Stars,1416441600,,,,,,,,,4,Positive
5.0,True,"08 29, 2014",A1H2V1GNEY4LZ0,B00W4YKCGC,Handyman,Work perfectly and on time!,Could not beat the great price and fast delivery!,1409270400,,,,,,,,,27,Positive
5.0,True,"08 11, 2014",AVGG8CYK8K312,B00W4YKCGC,Larry,I use these regular on my jobs I love the pricing too,Five Stars,1407715200,,,,,,,,,53,Positive
5.0,True,"10 15, 2016",A13391AZAFJ67K,B00570RQ0A,Fred A,good,Five Stars,1476489600,,,,,,,,,4,Positive
5.0,True,"01 5, 2016",A2V0JXLJ9VCNNX,B00570RQ0A,Amazon Customer,washer washing,Five Stars,1451952000,,,,,,,,,14,Positive
5.0,True,"12 5, 2016",A3GP2HMB2AFOKF,B00W4YKCGC,Juan,Great product fast shipping,Five Stars,1480896000,,,,,,,,,27,Positive
